comment_text,stance_label
good policy,Support
love this policy,Support
very helpful,Support
great initiative,Support
excellent step,Support
happy with this policy,Support
like the policy,Support
really support this,Support
this helps a lot,Support
amazing decision,Support
bad policy,Oppose
policy sucks,Oppose
useless plan,Oppose
waste of money,Oppose
terrible decision,Oppose
failed badly,Oppose
not helpful at all,Oppose
strongly oppose,Oppose
worst policy,Oppose
very disappointed,Oppose
not sure,Neutral
depends,Neutral
could be better,Neutral
need improvement,Neutral
average policy,Neutral
neutral view,Neutral
unclear impact,Neutral
mixed reaction,Neutral
